Category,Name,Description,Path,Block in WDAC/AppLocker,Privileges
OSScripts,CL_Invocation.ps1,Aero diagnostics script,C:\Windows\diagnostics\system\AERO\CL_Invocation.ps1,WDAC,User
OSScripts,CL_Invocation.ps1,Aero diagnostics script,C:\Windows\diagnostics\system\Audio\CL_Invocation.ps1,WDAC,User
OSScripts,CL_Invocation.ps1,Aero diagnostics script,C:\Windows\diagnostics\system\WindowsUpdate\CL_Invocation.ps1,WDAC,User
OSScripts,winrm.vbs,Script used for manage Windows RM settings,C:\Windows\System32\winrm.vbs,AppLocker,User
OSScripts,winrm.vbs,Script used for manage Windows RM settings,C:\Windows\SysWOW64\winrm.vbs,AppLocker,User
OSScripts,CL_Mutexverifiers.ps1,,C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1,,User
OSScripts,CL_Mutexverifiers.ps1,,C:\Windows\diagnostics\system\Audio\CL_Mutexverifiers.ps1,,User
OSScripts,CL_Mutexverifiers.ps1,,C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1,,User
OSScripts,CL_Mutexverifiers.ps1,,C:\Windows\diagnostics\system\Video\CL_Mutexverifiers.ps1,,User
OSScripts,CL_Mutexverifiers.ps1,,C:\Windows\diagnostics\system\Speech\CL_Mutexverifiers.ps1,,User
OSScripts,UtilityFunctions.ps1,PowerShell Diagnostic Script,C:\Windows\diagnostics\system\Networking\UtilityFunctions.ps1,AppLocker,User
OSScripts,Syncappvpublishingserver.vbs,Script used related to app-v and publishing server,C:\Windows\System32\SyncAppvPublishingServer.vbs,AppLocker,User
OSScripts,Pester.bat,Used as part of the Powershell pester,c:\Program Files\WindowsPowerShell\Modules\Pester\3.4.0\bin\Pester.bat,AppLocker,User
OSScripts,Pester.bat,Used as part of the Powershell pester,c:\Program Files\WindowsPowerShell\Modules\Pester\*\bin\Pester.bat,AppLocker,User
OSScripts,Manage-bde.wsf,Script for managing BitLocker,C:\Windows\System32\manage-bde.wsf,,User
OSScripts,CL_LoadAssembly.ps1,PowerShell Diagnostic Script,C:\Windows\diagnostics\system\Audio\CL_LoadAssembly.ps1,,User
OSScripts,Pubprn.vbs,,C:\Windows\System32\Printing_Admin_Scripts\en-US\pubprn.vbs,AppLocker,User
OSScripts,Pubprn.vbs,,C:\Windows\SysWOW64\Printing_Admin_Scripts\en-US\pubprn.vbs,AppLocker,User
OSLibraries,Dfshim.dll,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Dfsvc.exe,,User
OSLibraries,Dfshim.dll,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Dfsvc.exe,,User
OSLibraries,Dfshim.dll,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Dfsvc.exe,,User
OSLibraries,Dfshim.dll,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Dfsvc.exe,,User
OSLibraries,Pcwutl.dll,Microsoft HTML Viewer,c:\windows\system32\pcwutl.dll,,User
OSLibraries,Pcwutl.dll,Microsoft HTML Viewer,c:\windows\syswow64\pcwutl.dll,,User
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,c:\windows\system32\url.dll,,User
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,c:\windows\syswow64\url.dll,,User
OSLibraries,Zipfldr.dll,Compressed Folder library,c:\windows\system32\zipfldr.dll,,User
OSLibraries,Zipfldr.dll,Compressed Folder library,c:\windows\syswow64\zipfldr.dll,,User
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,c:\windows\system32\ieadvpack.dll,,User
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,c:\windows\syswow64\ieadvpack.dll,,User
OSLibraries,Ieaframe.dll,Internet Browser DLL for translating HTML code.,c:\windows\system32\ieframe.dll,,User
OSLibraries,Ieaframe.dll,Internet Browser DLL for translating HTML code.,c:\windows\syswow64\ieframe.dll,,User
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,c:\windows\system32\advpack.dll,,User
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,c:\windows\syswow64\advpack.dll,,User
OSLibraries,Syssetup.dll,Windows NT System Setup,c:\windows\system32\syssetup.dll,,User
OSLibraries,Syssetup.dll,Windows NT System Setup,c:\windows\syswow64\syssetup.dll,,User
OSLibraries,Shell32.dll,Windows Shell Common Dll,c:\windows\system32\shell32.dll,,User
OSLibraries,Shell32.dll,Windows Shell Common Dll,c:\windows\syswow64\shell32.dll,,User
OSLibraries,Setupapi.dll,Windows Setup Application Programming Interface,c:\windows\system32\setupapi.dll,,User
OSLibraries,Setupapi.dll,Windows Setup Application Programming Interface,c:\windows\syswow64\setupapi.dll,,User
OSLibraries,Shdocvw.dll,Shell Doc Object and Control Library.,c:\windows\system32\shdocvw.dll,,User
OSLibraries,Shdocvw.dll,Shell Doc Object and Control Library.,c:\windows\syswow64\shdocvw.dll,,User
OSLibraries,Mshtml.dll,Microsoft HTML Viewer,c:\windows\system32\mshtml.dll,,User
OSLibraries,Mshtml.dll,Microsoft HTML Viewer,c:\windows\syswow64\mshtml.dll,,User
OSLibraries,Comsvcs.dll,COM+ Services,c:\windows\system32\comsvcs.dll,,SYSTEM
OSBinaries,Regsvcs.exe,Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies,C:\Windows\System32\regsvcs.exe,,Local Admin
OSBinaries,Regsvcs.exe,Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies,C:\Windows\SysWOW64\regsvcs.exe,,Local Admin
OSBinaries,OneDriveStandaloneUpdater.exe,OneDrive Standalone Updater,%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,,User
OSBinaries,Ftp.exe,A binary designed for connecting to FTP servers,C:\Windows\System32\ftp.exe,,User
OSBinaries,Ftp.exe,A binary designed for connecting to FTP servers,C:\Windows\SysWOW64\ftp.exe,,User
OSBinaries,Dfsvc.exe,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Dfsvc.exe,,User
OSBinaries,Dfsvc.exe,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Dfsvc.exe,,User
OSBinaries,Dfsvc.exe,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Dfsvc.exe,,User
OSBinaries,Dfsvc.exe,ClickOnce engine in Windows used by .NET,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Dfsvc.exe,,User
OSBinaries,OfflineScannerShell.exe,Windows Defender Offline Shell,C:\Program Files\Windows Defender\Offline\OfflineScannerShell.exe,WDAC,Administrator
OSBinaries,Rasautou.exe,Windows Remote Access Dialer,C:\Windows\System32\rasautou.exe,,"User, Administrator in Windows 8"
OSBinaries,Schtasks.exe,Schedule periodic tasks,c:\windows\system32\schtasks.exe,AppLocker,User
OSBinaries,Schtasks.exe,Schedule periodic tasks,c:\windows\syswow64\schtasks.exe,AppLocker,User
OSBinaries,CertReq.exe,Used for requesting and managing certificates,C:\Windows\System32\certreq.exe,AppLocker,User
OSBinaries,CertReq.exe,Used for requesting and managing certificates,C:\Windows\SysWOW64\certreq.exe,AppLocker,User
OSBinaries,Pktmon.exe,Capture Network Packets on the windows 10 with October 2018 Update or later.,c:\windows\system32\pktmon.exe,WDAC,Administrator
OSBinaries,Pktmon.exe,Capture Network Packets on the windows 10 with October 2018 Update or later.,c:\windows\syswow64\pktmon.exe,WDAC,Administrator
OSBinaries,Xwizard.exe,,C:\Windows\System32\xwizard.exe,,User
OSBinaries,Xwizard.exe,,C:\Windows\SysWOW64\xwizard.exe,,User
OSBinaries,Findstr.exe,,C:\Windows\System32\findstr.exe,,User
OSBinaries,Findstr.exe,,C:\Windows\SysWOW64\findstr.exe,,User
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,C:\Windows\System32\esentutl.exe,,User
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,C:\Windows\SysWOW64\esentutl.exe,,User
OSBinaries,Dllhost.exe,Used by Windows to DLL Surrogate COM Objects,C:\Windows\System32\dllhost.exe,,User
OSBinaries,Dllhost.exe,Used by Windows to DLL Surrogate COM Objects,C:\Windows\SysWOW64\dllhost.exe,,User
OSBinaries,Cscript.exe,Binary used to execute scripts in Windows,C:\Windows\System32\cscript.exe,,User
OSBinaries,Cscript.exe,Binary used to execute scripts in Windows,C:\Windows\SysWOW64\cscript.exe,,User
OSBinaries,Reg.exe,Used to manipulate the registry,C:\Windows\System32\reg.exe,AppLocker,User
OSBinaries,Reg.exe,Used to manipulate the registry,C:\Windows\SysWOW64\reg.exe,AppLocker,User
OSBinaries,IMEWDBLD.exe,Microsoft IME Open Extended Dictionary Module,C:\Windows\System32\IME\SHARED\IMEWDBLD.exe,,User
OSBinaries,Csc.exe,Binary file used by .NET to compile C# code,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Csc.exe,,User
OSBinaries,Csc.exe,Binary file used by .NET to compile C# code,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Csc.exe,,User
OSBinaries,Pnputil.exe,Used for installing drivers,C:\Windows\system32\pnputil.exe,,Administrator
OSBinaries,Atbroker.exe,Helper binary for Assistive Technology (AT),C:\Windows\System32\Atbroker.exe,,User
OSBinaries,Atbroker.exe,Helper binary for Assistive Technology (AT),C:\Windows\SysWOW64\Atbroker.exe,,User
OSBinaries,DataSvcUtil.exe,DataSvcUtil.exe is a command-line tool provided by WCF Data Services that consumes an Open Data Protocol (OData) feed and generates the client data service classes that are needed to access a data service from a .NET Framework client application.,C:\Windows\Microsoft.NET\Framework64\v3.5\DataSvcUtil.exe,,User
OSBinaries,AppInstaller.exe,Tool used for installation of AppX/MSIX applications on Windows 10,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.11.2521.0_x64__8wekyb3d8bbwe\AppInstaller.exe,,User
OSBinaries,Print.exe,Used by Windows to send files to the printer,C:\Windows\System32\print.exe,,User
OSBinaries,Print.exe,Used by Windows to send files to the printer,C:\Windows\SysWOW64\print.exe,,User
