Category,Name,Description,Block in WDAC/AppLocker,Path
OSScripts,CL_Invocation.ps1,Aero diagnostics script,WDAC,C:\Windows\diagnostics\system\AERO\CL_Invocation.ps1
OSScripts,CL_Invocation.ps1,Aero diagnostics script,WDAC,C:\Windows\diagnostics\system\Audio\CL_Invocation.ps1
OSScripts,CL_Invocation.ps1,Aero diagnostics script,WDAC,C:\Windows\diagnostics\system\WindowsUpdate\CL_Invocation.ps1
OSScripts,winrm.vbs,Script used for manage Windows RM settings,WDAC,C:\Windows\System32\winrm.vbs
OSScripts,winrm.vbs,Script used for manage Windows RM settings,WDAC,C:\Windows\SysWOW64\winrm.vbs
OSScripts,CL_Mutexverifiers.ps1,,WDAC,C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1
OSScripts,CL_Mutexverifiers.ps1,,WDAC,C:\Windows\diagnostics\system\Audio\CL_Mutexverifiers.ps1
OSScripts,CL_Mutexverifiers.ps1,,WDAC,C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1
OSScripts,CL_Mutexverifiers.ps1,,WDAC,C:\Windows\diagnostics\system\Video\CL_Mutexverifiers.ps1
OSScripts,CL_Mutexverifiers.ps1,,WDAC,C:\Windows\diagnostics\system\Speech\CL_Mutexverifiers.ps1
OSScripts,UtilityFunctions.ps1,PowerShell Diagnostic Script,WDAC,C:\Windows\diagnostics\system\Networking\UtilityFunctions.ps1
OSScripts,Syncappvpublishingserver.vbs,Script used related to app-v and publishing server,WDAC,C:\Windows\System32\SyncAppvPublishingServer.vbs
OSScripts,Pester.bat,Used as part of the Powershell pester,WDAC,c:\Program Files\WindowsPowerShell\Modules\Pester\3.4.0\bin\Pester.bat
OSScripts,Pester.bat,Used as part of the Powershell pester,WDAC,c:\Program Files\WindowsPowerShell\Modules\Pester\*\bin\Pester.bat
OSScripts,Manage-bde.wsf,Script for managing BitLocker,,C:\Windows\System32\manage-bde.wsf
