"statusmessage","signaturetype","isosbinary","issuer","subject","Name","Path"
"File not found",,,,,"CL_Invocation.ps1","C:\Windows\diagnostics\system\AERO\CL_Invocation.ps1"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CL_Invocation.ps1","C:\Windows\diagnostics\system\Audio\CL_Invocation.ps1"
"File not found",,,,,"CL_Invocation.ps1","C:\Windows\diagnostics\system\WindowsUpdate\CL_Invocation.ps1"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","winrm.vbs","C:\Windows\System32\winrm.vbs"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","winrm.vbs","C:\Windows\SysWOW64\winrm.vbs"
"File not found",,,,,"CL_Mutexverifiers.ps1","C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1"
"File not found",,,,,"CL_Mutexverifiers.ps1","C:\Windows\diagnostics\system\Audio\CL_Mutexverifiers.ps1"
"File not found",,,,,"CL_Mutexverifiers.ps1","C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CL_Mutexverifiers.ps1","C:\Windows\diagnostics\system\Video\CL_Mutexverifiers.ps1"
"File not found",,,,,"CL_Mutexverifiers.ps1","C:\Windows\diagnostics\system\Speech\CL_Mutexverifiers.ps1"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","UtilityFunctions.ps1","C:\Windows\diagnostics\system\Networking\UtilityFunctions.ps1"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Syncappvpublishingserver.vbs","C:\Windows\System32\SyncAppvPublishingServer.vbs"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Pester.bat","c:\Program Files\WindowsPowerShell\Modules\Pester\3.4.0\bin\Pester.bat"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Pester.bat","c:\Program Files\WindowsPowerShell\Modules\Pester\*\bin\Pester.bat"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Manage-bde.wsf","C:\Windows\System32\manage-bde.wsf"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CL_LoadAssembly.ps1","C:\Windows\diagnostics\system\Audio\CL_LoadAssembly.ps1"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Pubprn.vbs","C:\Windows\System32\Printing_Admin_Scripts\en-US\pubprn.vbs"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Pubprn.vbs","C:\Windows\SysWOW64\Printing_Admin_Scripts\en-US\pubprn.vbs"
"File not found",,,,,"Dfshim.dll","C:\Windows\Microsoft.NET\Framework\v2.0.50727\Dfsvc.exe"
"File not found",,,,,"Dfshim.dll","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Dfsvc.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Dfshim.dll","C:\Windows\Microsoft.NET\Framework\v4.0.30319\Dfsvc.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Dfshim.dll","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Dfsvc.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Pcwutl.dll","c:\windows\system32\pcwutl.dll"
"File not found",,,,,"Pcwutl.dll","c:\windows\syswow64\pcwutl.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Url.dll","c:\windows\system32\url.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Url.dll","c:\windows\syswow64\url.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Zipfldr.dll","c:\windows\system32\zipfldr.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Zipfldr.dll","c:\windows\syswow64\zipfldr.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Ieadvpack.dll","c:\windows\system32\ieadvpack.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Ieadvpack.dll","c:\windows\syswow64\ieadvpack.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Ieaframe.dll","c:\windows\system32\ieframe.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Ieaframe.dll","c:\windows\syswow64\ieframe.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Advpack.dll","c:\windows\system32\advpack.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Advpack.dll","c:\windows\syswow64\advpack.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Syssetup.dll","c:\windows\system32\syssetup.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Syssetup.dll","c:\windows\syswow64\syssetup.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Shell32.dll","c:\windows\system32\shell32.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Shell32.dll","c:\windows\syswow64\shell32.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Setupapi.dll","c:\windows\system32\setupapi.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Setupapi.dll","c:\windows\syswow64\setupapi.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Shdocvw.dll","c:\windows\system32\shdocvw.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Shdocvw.dll","c:\windows\syswow64\shdocvw.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Mshtml.dll","c:\windows\system32\mshtml.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Mshtml.dll","c:\windows\syswow64\mshtml.dll"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Comsvcs.dll","c:\windows\system32\comsvcs.dll"
"File not found",,,,,"Regsvcs.exe","C:\Windows\System32\regsvcs.exe"
"File not found",,,,,"Regsvcs.exe","C:\Windows\SysWOW64\regsvcs.exe"
"File not found",,,,,"OneDriveStandaloneUpdater.exe","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Ftp.exe","C:\Windows\System32\ftp.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Ftp.exe","C:\Windows\SysWOW64\ftp.exe"
"File not found",,,,,"Dfsvc.exe","C:\Windows\Microsoft.NET\Framework\v2.0.50727\Dfsvc.exe"
"File not found",,,,,"Dfsvc.exe","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Dfsvc.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Dfsvc.exe","C:\Windows\Microsoft.NET\Framework\v4.0.30319\Dfsvc.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Dfsvc.exe","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Dfsvc.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","OfflineScannerShell.exe","C:\Program Files\Windows Defender\Offline\OfflineScannerShell.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Rasautou.exe","C:\Windows\System32\rasautou.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Schtasks.exe","c:\windows\system32\schtasks.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Schtasks.exe","c:\windows\syswow64\schtasks.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CertReq.exe","C:\Windows\System32\certreq.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CertReq.exe","C:\Windows\SysWOW64\certreq.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Pktmon.exe","c:\windows\system32\pktmon.exe"
"File not found",,,,,"Pktmon.exe","c:\windows\syswow64\pktmon.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Xwizard.exe","C:\Windows\System32\xwizard.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Xwizard.exe","C:\Windows\SysWOW64\xwizard.exe"
"Signature verified.","Catalog","True","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Findstr.exe","C:\Windows\System32\findstr.exe"
